"Sample Type","Lab No","Test ID","Date Recd","Date Rept","Beginning Depth","Ending Depth","Soil pH 1:1","Wdrf Buffer","1:1 Electrical Conductivity, mmho/cm","Excess Lime","Organic Matter, % LOI","Soil Respiration, ppm CO2-C","H2O Total Org. C, ppm C","H2O Total N, ppm N","H2O Org. N, ppm N","H3A Nitrate, ppm NO3-N","H3A Ammonium, ppm NH4-N","H3A Inorganic N, ppm N","H3A Total Phosphorus, ppm P","H3A Inorganic Phosphorus, ppm PO4-P","H3A Organic Phosphorus, ppm P","H3A Potassium, ppm K","H3A Calcium, ppm Ca","H3A Magnessium, ppm Mg","H3A Sodium, ppm Na","H3A Sulfur, ppm S","H3A Zinc, ppm Zn","H3A Iron, ppm Fe","H3A Manganese, ppm Mn","H3A Copper, ppm Cu","H3A Aluminum, ppm Al","Microbially Active C, %","H2O Org. C:Org. N ","H2O Org. N:H3A Inorg. N","Organic N Release, ppm N","Organic N Reserve, ppm N","Organic P Release, ppm P","Organic P Reserve, ppm P","Soil Health Score","Available N, lbs/A","Available P, lbs/A","Available K, lbs/A","Nutrient Value, $","Traditional Test N, lbs/A","Haney Test N, lbs/A","N Difference, lbs/A","N Savings, $","Cover Crop Mix","Past Crop","Crop 1","YG 1","Nitrogen Rec 1","P205 Rec 1","K2O Rec 1","Magnesium Rec 1","Sulfur Rec 1","Zinc Rec 1","Iron Rec 1","Manganese Rec 1","Copper Rec 1","Lime Rec 1","Crop 2","YG 2","Nitrogen Rec 2","P205 Rec 2","K2O Rec 2","Magnesium Rec 2","Sulfur Rec 2","Zinc Rec 2","Iron Rec 2","Manganese Rec 2","Copper Rec 2","Lime Rec 2","Crop 3","YG 3","Nitrogen Rec 3","P205 Rec 3","K2O Rec 3","Magnesium Rec 3","Sulfur Rec 3","Zinc Rec 3","Iron Rec 3","Manganese Rec 3","Copper Rec 3","Lime Rec 3"
"SOIL HEALTH","50217","N/A","10/12/2020","10/17/2020","0","12","8.7","","0.6","HIGH","0.5","5.5","46","7.6","4.8","2.2","1.4","3.5","13","11.7","1.4","52","2827","127","195","18.3","0.01","2.8","3.9","0.08","12.1","12.1","9.55","1.67","2.30","2.47","0.49","0.87","1.94","21.0","28.0","62.1","55.45","7.9","21.0","13.2","8.42","70% Legume 30% Grass","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SOIL HEALTH","50218","N/A","10/12/2020","10/17/2020","12","24","8.4","","0.8","HIGH","0.6","6.8","41","4.3","3.9","0.1","1.0","1.1","5","3.8","0.8","33","3096","142","217","31.7","0.01","2.0","1.2","0.06","6.7","16.5","10.67","8.38","2.55","1.30","0.40","0.41","1.89","13.3","9.8","40.1","32.37","0.4","13.3","12.9","8.27","70% Legume 30% Grass","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SOIL HEALTH","50219","N/A","10/12/2020","10/17/2020","24","36","8.5","","1.1","HIGH","0.7","6.0","44","5.8","1.8","3.5","0.9","4.3","3","2.5","1.0","19","3198","176","279","44.0","0.02","1.3","0.8","0.03","4.0","13.8","23.59","0.46","1.02","0.83","0.42","0.59","1.65","19.2","6.6","22.2","26.00","12.4","19.2","6.8","4.36","60% Legume 40% Grass","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SOIL HEALTH","50220","N/A","10/12/2020","10/17/2020","0","12","8.8","","0.7","HIGH","0.6","6.3","44","6.5","2.2","3.3","1.5","4.7","13","12.6","0.9","56","2769","123","194","19.9","0.02","2.9","3.6","0.07","11.4","14.3","20.04","0.51","1.26","0.94","0.37","0.49","1.73","21.5","29.8","67.7","59.24","11.7","21.5","9.8","6.28","60% Legume 40% Grass","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SOIL HEALTH","50221","N/A","10/12/2020","10/17/2020","12","24","8.6","","0.9","HIGH","0.8","4.5","41","4.9","2.0","2.7","1.3","4.0","4","3.3","0.7","27","3091","150","252","33.6","0.02","1.7","1.2","0.07","6.1","10.9","20.97","0.68","0.86","1.10","0.23","0.47","1.47","17.4","8.1","32.4","30.47","9.7","17.4","7.7","4.90","60% Legume 40% Grass","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SOIL HEALTH","50222","N/A","10/12/2020","10/17/2020","24","36","8.7","","1.0","HIGH","0.7","3.9","37","11.5","2.6","8.4","1.1","9.4","3","2.8","0.2","19","3070","185","357","44.1","0.01","1.7","0.9","0.06","6.0","10.6","14.41","0.29","1.08","1.47","0.07","0.14","1.38","37.9","6.6","22.9","38.27","30.2","37.9","7.7","4.91","70% Legume 30% Grass","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SOIL HEALTH","50223","N/A","10/12/2020","10/17/2020","0","12","8.4","","2.3","HIGH","0.8","12.0","49","25.5","4.1","20.4","1.3","21.7","9","8.4","0.9","68","2963","143","541","181.7","0.02","2.2","2.9","0.08","9.4","24.7","11.95","0.19","4.02","0.05","0.64","0.22","2.58","92.6","20.7","82.1","108.39","73.4","92.6","19.2","12.28","60% Legume 40% Grass","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SOIL HEALTH","50224","N/A","10/12/2020","10/17/2020","0","12","8.6","","1.1","HIGH","0.9","10.3","52","13.0","3.1","8.8","1.3","10.2","7","6.1","1.3","44","2965","141","389","41.8","0.02","2.2","2.3","0.09","8.0","19.7","16.96","0.31","2.43","0.65","0.75","0.52","2.38","45.4","15.9","53.0","61.69","31.8","45.4","13.6","8.68","70% Legume 30% Grass","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SOIL HEALTH","50225","N/A","10/12/2020","10/17/2020","0","12","8.7","","0.9","HIGH","0.8","10.0","54","10.3","3.0","6.1","1.6","7.7","8","7.4","0.4","52","3003","133","307","29.2","0.02","1.9","2.9","0.09","8.8","18.5","17.86","0.41","2.24","0.79","0.22","0.18","2.39","35.7","17.6","61.9","60.66","21.8","35.7","13.9","8.89","70% Legume 30% Grass","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SOIL HEALTH","50226","N/A","10/12/2020","10/17/2020","0","12","8.6","","0.7","HIGH","0.8","12.2","58","13.0","4.6","8.2","1.4","9.6","10","9.1","0.9","73","2920","149","274","28.9","0.01","2.0","3.1","0.08","9.5","21.0","12.75","0.54","3.83","0.73","0.55","0.32","2.84","48.3","22.1","87.9","83.46","29.4","48.3","18.9","12.07","60% Legume 40% Grass","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SOIL HEALTH","50227","N/A","10/12/2020","10/17/2020","0","12","8.5","","0.8","HIGH","0.7","12.3","55","10.4","4.0","5.9","1.4","7.3","13","10.6","2.0","61","2897","133","248","27.0","0.02","2.3","3.4","0.07","10.9","22.4","13.85","0.62","3.55","0.42","1.35","0.66","2.73","39.0","27.5","72.8","72.08","21.2","39.0","17.8","11.41","60% Legume 40% Grass","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SOIL HEALTH","50228","N/A","10/12/2020","10/17/2020","0","12","8.5","","1.7","HIGH","0.9","12.1","56","16.2","2.9","12.9","1.2","14.1","11","10.0","1.0","55","2856","121","513","91.8","0.01","2.2","3.3","0.07","9.5","21.8","19.02","0.22","2.54","0.38","0.67","0.36","2.61","60.0","24.5","65.9","80.88","46.4","60.0","13.6","8.67","60% Legume 40% Grass","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SOIL HEALTH","50229","N/A","10/12/2020","10/17/2020","0","12","8.8","","0.8","HIGH","0.8","9.3","51","9.1","4.1","4.7","1.6","6.3","16","14.8","1.3","67","2811","130","274","24.7","0.02","2.4","3.5","0.04","11.8","18.4","12.48","0.81","2.98","1.07","0.70","0.57","2.35","33.3","35.7","80.4","75.42","16.7","33.3","16.5","10.58","70% Legume 30% Grass","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SOIL HEALTH","50230","N/A","10/12/2020","10/17/2020","0","12","8.7","","0.9","HIGH","0.9","14.5","54","15.3","3.6","11.3","1.7","13.0","13","12.0","1.1","70","2889","129","329","46.1","0.01","2.0","4.3","0.08","10.1","26.6","14.96","0.31","3.64","0.00","0.89","0.22","2.90","59.8","29.7","83.8","91.74","40.7","59.8","19.2","12.25","60% Legume 40% Grass","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SOIL HEALTH","50231","N/A","10/12/2020","10/17/2020","0","12","9.0","","0.7","HIGH","0.8","8.2","47","8.5","3.5","4.6","1.8","6.3","20","17.5","2.0","53","2667","126","348","25.2","0.01","2.6","4.7","0.10","13.2","17.3","13.38","0.71","2.45","1.08","1.06","0.98","2.12","31.6","42.7","63.0","68.40","16.4","31.6","15.2","9.75","70% Legume 30% Grass","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SOIL HEALTH","50232","N/A","10/12/2020","10/17/2020","0","12","8.8","","1.1","HIGH","0.9","11.1","56","10.4","3.5","6.7","1.8","8.5","14","12.1","1.9","57","2763","137","372","42.2","0.01","2.3","4.2","0.10","10.8","19.7","16.34","0.49","2.72","0.73","1.13","0.78","2.58","40.2","30.4","68.3","71.75","24.0","40.2","16.3","10.41","60% Legume 40% Grass","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SOIL HEALTH","50233","N/A","10/12/2020","10/17/2020","0","12","8.6","","0.9","HIGH","0.8","10.4","51","14.6","3.3","10.7","1.6","12.3","54","49.8","3.7","107","2433","130","303","41.8","0.07","3.9","10.4","0.28","21.0","20.4","15.67","0.29","2.65","0.60","2.29","1.46","2.39","53.9","119.8","128.0","145.19","38.5","53.9","15.4","9.82","70% Legume 30% Grass","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SOIL HEALTH","50234","N/A","10/12/2020","10/17/2020","0","12","8.6","","1.1","HIGH","0.7","10.4","52","13.5","3.9","8.9","2.0","10.9","69","66.0","3.5","105","2086","128","323","49.8","0.09","5.9","11.2","0.48","26.7","19.9","13.38","0.41","3.11","0.80","2.08","1.41","2.48","50.5","156.6","125.6","156.19","32.0","50.5","18.5","11.82","70% Legume 30% Grass","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SOIL HEALTH","50235","N/A","10/12/2020","10/17/2020","0","12","8.5","","1.7","HIGH","0.8","12.5","54","17.9","3.2","14.2","1.6","15.8","7","6.4","0.8","53","2945","135","482","94.2","0.02","1.8","2.6","0.08","8.2","23.3","16.54","0.22","3.02","0.22","0.57","0.25","2.65","67.8","16.1","63.5","81.36","51.1","67.8","16.6","10.65","60% Legume 40% Grass","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SOIL HEALTH","50236","N/A","10/12/2020","10/17/2020","0","12","8.8","","0.8","HIGH","0.8","6.7","53","11.6","4.6","6.8","1.3","8.0","9","8.0","1.2","62","2971","128","305","27.9","0.02","1.8","2.8","0.10","8.9","12.8","11.32","0.67","2.37","2.27","0.46","0.74","2.18","37.4","19.6","74.9","69.02","24.3","37.4","13.1","8.38","70% Legume 30% Grass","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SOIL HEALTH","50237","N/A","10/12/2020","10/17/2020","0","12","8.7","","1.1","HIGH","0.8","9.0","53","9.5","3.7","5.4","0.9","6.3","9","7.6","1.2","59","2828","129","398","52.6","0.01","1.9","3.1","0.09","10.0","17.1","14.18","0.64","2.54","1.18","0.62","0.59","2.33","31.9","18.8","70.3","62.89","19.6","31.9","12.3","7.87","70% Legume 30% Grass","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SOIL HEALTH","50238","N/A","10/12/2020","10/17/2020","0","12","8.6","","1.0","HIGH","0.8","10.7","52","12.5","3.6","8.6","1.3","9.9","10","9.5","0.9","68","2912","127","301","36.1","0.01","2.1","3.8","0.13","9.9","20.5","14.35","0.41","2.98","0.65","0.54","0.34","2.48","46.4","23.2","81.4","79.41","31.1","46.4","15.3","9.80","70% Legume 30% Grass","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SOIL HEALTH","50239","N/A","10/12/2020","10/17/2020","0","12","8.7","","0.9","HIGH","0.8","12.9","51","12.4","4.0","8.1","1.7","9.8","15","13.7","1.7","80","2762","136","249","28.5","0.01","2.3","4.4","0.09","12.2","25.4","12.69","0.48","4.00","0.00","1.30","0.41","2.70","49.7","34.5","95.5","93.00","29.1","49.7","20.6","13.20","60% Legume 40% Grass","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SOIL HEALTH","50240","N/A","10/12/2020","10/17/2020","0","12","8.8","","0.8","HIGH","0.8","8.6","51","8.9","3.9","4.9","1.4","6.2","52","48.5","3.3","89","2247","131","338","38.6","0.05","5.0","10.0","0.38","25.2","16.7","13.27","0.77","2.59","1.28","1.64","1.63","2.28","31.7","115.3","106.5","118.50","17.5","31.7","14.2","9.11","70% Legume 30% Grass","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SOIL HEALTH","50241","N/A","10/12/2020","10/17/2020","0","12","8.6","","1.2","HIGH","0.8","11.1","46","12.9","3.8","8.2","1.6","9.8","10","8.3","1.4","53","2958","121","390","82.3","0.02","1.8","3.9","0.09","9.4","24.2","12.23","0.41","3.63","0.12","1.04","0.39","2.40","48.4","21.5","63.8","71.23","29.6","48.4","18.8","12.05","70% Legume 30% Grass","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SOIL HEALTH","50242","N/A","10/12/2020","10/17/2020","0","12","8.6","","0.9","HIGH","0.7","15.6","46","8.6","4.2","3.7","1.3","5.0","10","9.5","1.0","78","2908","125","221","25.5","0.02","2.1","3.9","0.08","9.7","33.9","10.96","0.97","4.20","0.00","1.01","0.00","2.90","33.2","24.1","93.2","77.26","13.3","33.2","19.9","12.74","60% Legume 40% Grass","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SOIL HEALTH","50243","N/A","10/12/2020","10/17/2020","0","12","8.6","","0.8","HIGH","0.7","9.9","44","8.0","3.3","4.1","2.0","6.1","30","28.0","2.3","73","2521","126","249","26.4","0.02","3.5","7.6","0.18","18.7","22.7","13.18","0.71","3.01","0.31","1.57","0.74","2.20","32.7","68.0","87.9","91.39","14.8","32.7","18.0","11.49","70% Legume 30% Grass","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SOIL HEALTH","50244","N/A","10/12/2020","10/17/2020","0","12","8.5","","1.4","HIGH","0.8","11.6","41","12.6","3.1","8.4","3.1","11.5","29","26.5","2.5","75","2687","120","330","85.2","0.02","2.6","6.6","0.08","14.0","28.2","13.33","0.33","3.09","0.00","2.09","0.38","2.29","52.5","65.8","90.1","104.30","30.2","52.5","22.3","14.26","70% Legume 30% Grass","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SOIL HEALTH","50245","N/A","10/12/2020","10/17/2020","0","12","8.6","","1.0","HIGH","0.7","10.5","41","11.1","4.7","5.7","2.7","8.4","35","32.4","3.1","91","2468","124","260","26.6","0.09","3.8","8.8","0.27","19.9","25.9","8.69","0.73","4.67","0.00","2.37","0.69","2.33","47.2","80.0","108.8","115.79","20.6","47.2","26.5","16.99","70% Legume 30% Grass","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SOIL HEALTH","50246","N/A","10/12/2020","10/17/2020","0","12","8.6","","1.2","HIGH","0.8","9.6","37","13.3","3.5","9.2","1.8","11.0","36","32.4","3.3","79","2542","124","339","65.2","0.03","3.1","6.6","0.14","15.8","25.8","10.60","0.36","3.51","0.00","2.53","0.73","2.05","52.2","80.3","94.7","112.05","32.9","52.2","19.3","12.32","70% Legume 30% Grass","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SOIL HEALTH","50247","N/A","10/12/2020","10/17/2020","0","12","8.3","","1.1","HIGH","0.8","10.4","38","6.8","4.5","2.1","1.3","3.4","122","118.0","3.6","78","1425","115","303","37.1","0.15","9.3","16.3","0.42","41.5","27.5","8.47","1.91","4.46","0.00","2.99","0.63","2.24","28.3","278.3","93.1","173.21","7.5","28.3","20.9","13.35","70% Legume 30% Grass","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SOIL HEALTH","50248","N/A","10/12/2020","10/17/2020","0","12","8.6","","1.0","HIGH","0.7","9.3","42","13.1","2.4","9.3","1.9","11.2","17","15.1","1.7","68","2791","131","302","30.6","0.01","2.3","4.3","0.09","11.4","22.0","17.62","0.22","2.11","0.29","1.15","0.59","2.01","47.8","37.4","81.3","85.80","33.4","47.8","14.4","9.24","70% Legume 30% Grass","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SOIL HEALTH","50249","N/A","10/12/2020","10/17/2020","0","12","8.7","","1.0","HIGH","0.8","10.5","44","13.2","4.3","8.0","1.2","9.2","28","25.8","2.4","92","2667","129","319","38.6","0.02","2.9","6.5","0.11","15.1","23.7","10.41","0.48","4.03","0.23","1.72","0.70","2.36","47.6","63.3","110.3","110.27","28.7","47.6","18.9","12.08","70% Legume 30% Grass","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SOIL HEALTH","50250","N/A","10/12/2020","10/17/2020","0","12","8.1","","0.8","HIGH","1.4","10.4","41","11.3","5.0","5.9","1.0","7.0","34","31.7","2.2","40","2866","221","331","62.7","0.08","6.8","2.1","0.23","9.0","25.6","8.16","0.79","4.99","0.00","1.67","0.51","2.35","43.1","76.8","48.0","81.48","21.4","43.1","21.7","13.87","70% Legume 30% Grass","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SOIL HEALTH","50251","N/A","10/12/2020","10/17/2020","0","24","8.1","","1.1","HIGH","0.8","9.6","24","5.3","2.0","3.1","0.9","4.0","20","18.1","1.9","42","3039","225","367","80.0","0.07","3.9","1.6","0.14","8.0","40.6","11.88","0.60","1.99","0.00","1.89","0.00","1.63","43.2","46.0","50.0","70.57","22.4","43.2","20.8","13.33","70% Legume 30% Grass","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SOIL HEALTH","50252","N/A","10/12/2020","10/17/2020","0","36","8.4","","0.7","HIGH","1.0","11.8","35","7.5","3.8","3.6","1.0","4.6","25","23.4","2.0","48","2798","219","367","49.7","0.13","5.9","1.7","0.24","8.8","34.1","9.06","1.03","3.82","0.00","2.01","0.00","2.26","91.0","58.4","57.3","109.72","39.2","91.0","51.8","33.16","70% Legume 30% Grass","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SOIL HEALTH","50253","N/A","10/12/2020","10/17/2020","0","12","8.1","","0.7","HIGH","2.3","22.2","58","18.0","5.7","12.2","1.0","13.2","52","48.0","4.2","28","2647","224","292","47.8","0.40","14.1","2.6","0.40","12.1","38.4","10.20","0.46","5.66","0.00","4.22","0.00","3.94","67.9","120.1","34.0","107.28","43.9","67.9","24.0","15.36","60% Legume 40% Grass","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SOIL HEALTH","50254","N/A","10/12/2020","10/17/2020","0","24","8.3","","0.8","HIGH","0.8","11.6","29","7.3","3.5","3.5","0.8","4.3","16","14.1","1.4","20","3002","202","303","65.5","0.03","3.1","1.7","0.24","7.8","39.4","8.48","0.92","3.47","0.00","1.40","0.00","2.10","55.9","35.7","23.6","61.47","25.2","55.9","30.7","19.62","70% Legume 30% Grass","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SOIL HEALTH","50255","N/A","10/12/2020","10/17/2020","0","36","8.2","","0.9","HIGH","0.7","6.9","16","4.1","1.1","2.4","0.8","3.1","10","8.8","0.9","38","3103","217","365","78.0","0.01","2.0","1.1","0.09","8.2","41.9","14.85","0.37","1.11","0.00","0.86","0.00","1.13","45.8","22.1","45.2","60.52","25.4","45.8","20.4","13.06","70% Legume 30% Grass","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SOIL HEALTH","50256","N/A","10/12/2020","10/17/2020","0","12","8.2","","0.8","HIGH","2.0","24.6","54","15.3","6.3","8.2","1.0","9.2","51","46.9","3.7","20","2624","232","337","59.2","0.24","9.3","3.0","0.32","11.4","45.6","8.59","0.69","6.28","0.00","3.73","0.00","4.17","55.6","116.4","23.6","92.80","29.6","55.6","26.1","16.68","60% Legume 40% Grass","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SOIL HEALTH","50257","N/A","10/12/2020","10/17/2020","0","24","8.3","","1.1","HIGH","1.0","14.7","36","10.6","3.6","6.6","1.2","7.8","11","10.3","1.0","33","2823","252","437","76.6","0.04","5.4","2.6","0.18","8.4","40.8","9.96","0.52","3.62","0.00","0.97","0.00","2.55","81.9","25.9","39.4","82.24","47.6","81.9","34.4","21.98","60% Legume 40% Grass","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SOIL HEALTH","50258","N/A","10/12/2020","10/17/2020","0","36","8.2","","1.5","HIGH","0.9","6.8","17","6.5","1.6","4.7","1.2","5.8","7","5.5","1.4","49","3177","249","588","220.1","0.01","2.2","1.1","0.05","8.4","39.8","10.95","0.32","1.56","0.00","1.37","0.00","1.18","79.9","15.8","58.4","86.53","50.3","79.9","29.6","18.95","70% Legume 30% Grass","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SOIL HEALTH","50259","N/A","10/12/2020","10/17/2020","0","12","8.2","","0.7","HIGH","1.5","19.9","43","17.6","6.1","10.7","1.2","11.9","35","31.9","3.6","27","2820","212","280","53.4","0.20","6.6","2.6","0.23","9.8","46.6","7.01","0.53","6.09","0.00","3.57","0.00","3.45","64.7","81.6","32.7","89.55","38.5","64.7","26.2","16.75","60% Legume 40% Grass","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SOIL HEALTH","50260","N/A","10/12/2020","10/17/2020","0","24","8.4","","0.9","HIGH","0.8","9.2","57","7.7","3.6","3.9","0.5","4.4","10","8.4","1.1","20","3076","225","342","69.5","0.01","1.9","1.1","0.08","7.6","16.3","15.69","0.88","2.34","1.26","0.54","0.57","2.41","48.4","20.5","24.6","51.29","27.7","48.4","20.7","13.25","70% Legume 30% Grass","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SOIL HEALTH","50261","N/A","10/12/2020","10/17/2020","0","36","8.2","","1.3","HIGH","0.5","4.8","43","5.0","4.0","0.6","0.8","1.4","12","10.1","1.6","34","3024","236","428","74.7","0.01","2.1","0.9","0.06","8.6","11.2","10.72","4.12","1.79","2.22","0.53","1.06","1.74","33.9","24.5","41.3","51.92","6.1","33.9","27.9","17.83","70% Legume 30% Grass","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SOIL HEALTH","50281","N/A","10/12/2020","10/17/2020","0","12","8.2","","1.4","HIGH","0.5","11.9","86","39.6","7.8","31.5","1.4","32.9","13","12.1","1.1","79","3093","128","389","86.7","0.01","2.7","3.7","0.09","9.8","13.9","11.06","0.24","4.30","3.46","0.46","0.65","3.68","133.8","28.9","94.7","144.19","113.4","133.8","20.4","13.02","60% Legume 40% Grass","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SOIL HEALTH","50282","N/A","10/12/2020","10/17/2020","0","12","8.1","","1.5","HIGH","0.6","9.1","67","61.7","5.9","55.7","1.0","56.7","19","17.3","2.1","80","3001","124","464","125.4","0.02","2.8","3.2","0.07","10.2","13.5","11.44","0.11","3.18","2.69","0.84","1.23","2.84","215.4","41.7","95.8","202.05","200.5","215.4","14.9","9.53","10% Legume 90% Grass","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SOIL HEALTH","50283","N/A","10/12/2020","10/17/2020","0","12","8.1","","2.3","HIGH","0.7","9.3","72","131.6","16.2","115.0","1.3","116.3","23","21.1","1.9","66","3068","130","608","175.9","0.01","2.9","3.9","0.13","10.4","13.0","4.42","0.14","8.42","7.83","0.72","1.13","2.53","449.0","50.2","79.2","346.50","414.0","449.0","35.0","22.37","10% Legume 90% Grass","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SOIL HEALTH","50284","N/A","10/12/2020","10/17/2020","0","12","8.1","","1.4","HIGH","0.6","9.6","62","75.1","11.5","63.3","1.2","64.5","24","22.1","2.1","68","2982","130","416","92.5","0.01","3.0","4.0","0.13","11.8","15.5","5.38","0.18","7.14","4.39","0.97","1.12","3.35","258.0","53.1","81.2","226.40","227.9","258.0","30.1","19.26","10% Legume 90% Grass","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SOIL HEALTH","50285","N/A","10/12/2020","10/17/2020","0","12","8.3","","1.2","HIGH","0.7","15.8","80","28.6","5.3","23.1","1.4","24.5","12","10.6","1.0","57","3056","128","379","61.6","0.01","2.3","4.1","0.09","9.1","19.6","15.09","0.23","4.19","1.15","0.59","0.42","3.72","103.3","25.8","68.3","110.33","83.2","103.3","20.2","12.90","60% Legume 40% Grass","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SOIL HEALTH","50286","N/A","10/12/2020","10/17/2020","0","12","8.2","","1.1","HIGH","0.5","9.4","60","47.3","4.2","43.0","1.0","44.0","13","12.6","0.9","53","3018","121","350","73.5","0.02","2.5","2.8","0.11","9.8","15.8","14.29","0.10","2.63","1.54","0.42","0.47","2.55","167.7","30.0","63.7","150.86","154.8","167.7","12.9","8.27","10% Legume 90% Grass","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SOIL HEALTH","50287","N/A","10/12/2020","10/17/2020","0","12","8.2","","1.5","HIGH","0.7","15.4","73","56.2","4.9","51.2","1.2","52.4","17","15.7","1.2","61","3024","131","426","92.1","0.02","2.8","4.6","0.13","11.7","21.1","15.06","0.09","4.09","0.76","0.78","0.45","3.49","203.4","37.9","72.9","181.36","184.3","203.4","19.0","12.19","10% Legume 90% Grass","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SOIL HEALTH","50288","N/A","10/12/2020","10/17/2020","0","12","8.2","","1.5","HIGH","0.7","9.1","78","49.3","5.9","43.1","1.0","44.1","20","18.2","1.8","53","2942","132","490","124.0","0.01","2.8","4.0","0.12","12.9","11.7","13.33","0.13","2.73","3.12","0.64","1.19","3.06","168.6","43.3","63.7","156.63","155.2","168.6","13.4","8.57","10% Legume 90% Grass","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SOIL HEALTH","50289","N/A","10/12/2020","10/17/2020","0","12","8.2","","1.0","HIGH","0.7","11.0","80","46.8","5.3","41.2","1.2","42.4","13","11.9","0.8","54","3094","123","396","79.7","0.02","2.4","3.4","0.09","9.9","13.7","15.24","0.13","2.89","2.39","0.34","0.49","3.23","162.9","28.2","65.1","147.78","148.3","162.9","14.6","9.32","10% Legume 90% Grass","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SOIL HEALTH","50290","N/A","10/12/2020","10/17/2020","0","12","8.2","","1.1","HIGH","0.7","12.5","83","45.1","4.4","40.5","1.1","41.6","14","13.0","1.3","63","3002","125","378","76.8","0.02","2.5","4.3","0.09","11.6","15.2","18.85","0.11","2.65","1.72","0.59","0.71","3.34","159.2","31.3","75.8","151.99","145.8","159.2","13.4","8.58","60% Legume 40% Grass","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
